textbook ID,학년,출판사,교육과정,Lesson,구분,title,new_DES,DESCRIPTION,Key Expression (영어),Key Expression (한국어),Sub Expression (영어),Sub Expression (한국어),학습목표,Quiz 1,Korean 1,Option 1-1,Option 1-2,Option 1-3,Answer 1,Index 1,Quiz 2,Korean 2,Option 2-1,Option 2-2,Option 2-3,Answer 2,Index 2,샘플 스크립트 (영어),샘플 스크립트 (한국어),,"STRUCTURE - Title, New Desc 작업용",,,
701,중1,능률(김),2015,1,function,자기소개와 출신지,I'm from ~로 말하기,"자기소개와 출신지에 대해 말하고, 이에 반응하기.","A: My name is Felix. I’m from Australia.
 B: Glad to meet you.","A: 내 이름은 필릭스야. 나는 호주에서 왔어.
 B: 만나서 반가워.","A: Hi, I’m ~. I come from ~.
 B: Nice to meet you.
 A: Hello, my name is ~. I’m from ~.
 B: Great to meet you.","A: 안녕, 나는 ~야. ~에서 왔어.
 B: 만나서 반가워.
 A: 안녕, 내 이름은 ~야. ~에서 왔어.
 B: 정말 반가워.","자기소개와 출신지에 대해 말할 수 있어요.
 Talk about your introduction and origin, and respond appropriately.",A: My name is Felix. I’m from ____.,A: 내 이름은 Felix야. 나는 Australia 출신이야. B: 만나서 반가워.,America,Australia,Canada,Australia,2,"A: Hi, I’m Sam. I ____ from Korea. B: Nice to meet you.","A: 안녕, 나는 Sam이야. 나는 Korea에서 왔어. B: 만나서 반가워.",live,come,am,come,2,"A: My name is Leo. I’m from Canada. B: Pleased to meet you. A: Hi, I’m Mia. I come from Japan. B: Happy to meet you.","A: 내 이름은 Leo야. 나는 Canada 출신이야. B: 만나서 반가워. A: 안녕, 나는 Mia야. 나는 Japan에서 왔어. B: 만나서 기뻐.",,,,,
701,중1,능률(김),2015,1,function,좋아하는 것 묻고 답하기,동사 like와 형용사 favorite 활용하기,like와 favorite 단어를 활용해 좋아하는 것에 대해 묻고 답하기.,"A: What is your favorite sport?
 B: I like soccer.","A: 네가 가장 좋아하는 스포츠는 뭐야?
 B: 나는 축구를 좋아해.","A: What do you like the most?
 B: I enjoy ~.
 A: What’s your favorite activity?
 B: My favorite is ~.","A: 제일 좋아하는 게 뭐야?
 B: 나는 ~ 즐겨.
 A: 가장 좋아하는 활동이 뭐야?
 B: 내가 제일 좋아하는 건 ~.","like와 favorite 단어를 사용하여 좋아하는 것에 대해 묻고 답할 수 있어요.
 You can ask and answer questions about what you like using 'like' and 'favorite'.",What is your ______ sport?,네가 가장 좋아하는 스포츠는 무엇이에요?,like,favorite,best,favorite,2,What do you ______ the most?,가장 좋아하는 것은 무엇이에요?,prefer,love,like,like,3,A: What's your favorite game? B: I like basketball. A: What do you enjoy during the weekends? B: My favorite activity is playing outdoors.,A: 네가 가장 좋아하는 게임은 무엇이에요? B: 저는 농구를 좋아해요. A: 주말에는 무엇을 즐겨하나요? B: 제가 가장 좋아하는 활동은 야외에서 노는 거예요.,,,,,
701,중1,능률(김),2015,2,function,계획 묻고 답하기,be going to 표현 활용하기,be going to ~를 활용해 계획이나 예정된 일에 대해 묻고 답하기.,A: What are you going to do on your holiday? B: I’m going to travel.,A: 너는 휴가 때 무엇을 할 예정이야? B: 나는 여행을 갈 예정이야.,A: What are your plans for ~? B: I’m planning to ~. A: What will you do on ~? B: I’ll ~.,A: ~에 대한 계획은 뭐야? B: ~할 계획이야. A: ~에서는 뭐 할 거야? B: ~할 거야.,"계획이나 예정된 일에 대해 묻고 답할 수 있어요.
 be going to ~를 활용해 계획이나 예정된 일에 대해 묻고 답할 수 있어요.",A: What are you _____ on your holiday? B: I’m going to travel.,A: 너는 휴일에 무엇을 할 예정이니? B: 여행을 갈 거야.,planning to do,going to do,will do,going to do,2,I'm _____ to try a new recipe.,나는 새로운 요리를 시도할 계획이야.,planning,preparing,deciding,planning,1,A: What are you going to do this weekend? B: I'm going to go hiking. A: What are your plans for the evening? B: I'm planning to watch a movie.,A: 이번 주말에 무엇을 할 거야? B: 하이킹을 갈 거야. A: 저녁에 어떤 계획이 있어? B: 영화를 볼 계획이야.,,,,,
701,중1,능률(김),2015,2,function,장소 설명하기,There is/are ~을 활용하여 장소 설명하기,There is/are ~을 활용하여 장소 설명하기.,There are many parks in my city.,내 도시에 공원이 많이 있어.,"You can find ~ ~.
 ~ has ~.",~ ~를 찾을 수 있어. ~는 ~가 있어.,"장소를 설명할 때 there is/are 표현을 사용할 수 있어요.
 You can describe places using there is/are expressions.",There are many _____ in my city.,우리 도시에는 많은 공원이 있어요.,restaurants,parks,museums,parks,2,You can _____ many cafes.,많은 카페를 찾을 수 있어요.,see,find,buy,find,2,A: There are many libraries in my town. B: Really? I enjoy spending time there. A: You can find quiet reading corners in the library. B: That sounds like a perfect place to relax.,A: 우리 동네에는 많은 도서관이 있어요. B: 정말요? 그곳에서 시간을 보내는 걸 좋아해요. A: 도서관에서는 조용한 독서 공간을 찾을 수 있어요. B: 휴식하기에 딱 좋은 곳이네요.,,,,,
701,중1,능률(김),2015,3,function,조언하기,You should ~를 활용해 조언하기,You should ~를 활용해 조언하기.,"A: You should study harder.
 B: Okay, I’ll try.","A: 너는 더 열심히 공부해야 해.
 B: 알겠어, 노력할게.","A: It’s a good idea to ~.
 B: I’ll give it a shot.
 A: How about ~?
 B: Sure, I’ll do that.","A: ~하는 거 좋은 생각인 것 같아.
 B: 한 번 해볼게.
 A: 그럼 ~은 어때?
 B: 응, 그렇게 할게.","‘You should’를 활용하여 조언할 수 있어요.
 구체적인 조언 표현에서 핵심 동사를 사용할 수 있어요.","A: You should ______. B: Okay, I’ll try.","A: 너는 ______ 해야 해. B: 알겠어, 노력해볼게.",study harder,watch TV,sleep early,study harder,1,A: It’s a good idea to ______. B: I’ll give it a shot.,A: ~하는 것이 좋은 생각이야. B: 한 번 해볼게.,run fast,study harder,eat quickly,study harder,2,"A: You should exercise regularly. B: Okay, I'll try. A: It's a good idea to eat a balanced diet. B: Sure, I'll do that.","A: 너는 규칙적으로 운동해야 해. B: 알겠어, 노력해볼게. A: 균형 잡힌 식단을 유지하는 것이 좋은 생각이야. B: 그래, 그렇게 할게.",,,,,
701,중1,능률(김),2015,3,function,허락 요청 및 답하기,Can I ~?를 활용해 허락 요청 답변하기,Can I ~?를 활용해 허락을 요청하고 답하기.,"A: Can I borrow your book?
 B: Yes, of course. / I’m sorry, but you can’t.","A: 네 책을 빌릴 수 있을까?
 B: 네, 물론이야. / 미안하지만 안 돼.","A: May I ~?
 B: Sure, go ahead. / Sorry, you can’t.
 A: Is it okay if I ~?
 B: Of course. / I’m afraid not.","A: ~ 해도 될까? 
 B: 그래, 해봐. / 미안, 안 돼. 
 A: ~ 해도 괜찮을까? 
 B: 당연하지. / 미안, 안 돼.","허락을 요청하고 응답하는 표현을 사용할 수 있어요.
 Can I ~?와 같은 표현을 활용해 허락을 요청하고 답할 수 있어요.",___ I borrow your book?,내 책 좀 빌려도 될까요?,May,Can,Might,Can,2,May I ___ your eraser?,내 지우개를 빌릴 수 있을까요?,buy,borrow,lend,borrow,2,"A: Can I borrow your jacket? B: Yes, of course. A: May I use it for the trip? B: I'm sorry, but you can't.",A: 재킷 좀 빌려도 될까요? B: 물론이죠. A: 여행에 써도 될까요? B: 미안하지만 안 돼요.,,,,,
701,중1,능률(김),2015,4,function,의견 동의 반대하기,agree/disagree 표현 익히기,의견에 동의하거나 반대 표현하기.,"A: This idea is great.
 B: I think so, too. / I don’t think so.","A: 이 아이디어는 정말 좋아.
 B: 나도 그렇게 생각해. / 난 그렇게 생각하지 않아.","A: This ~ feels ~.
 B: I agree. ~ / I disagree. ~
 A: I believe this ~ is ~.
 B: Me, too. ~ / I don’t think so. ~","A: 이거 ~한 느낌이 들어.
 B: 나도 그래. ~ / 난 아니라고 생각해. ~
 A: 내 생각에는 이 ~가 ~인 것 같아.
 B: 나도 그래. ~ / 난 그렇게 생각 안 해. ~","타인의 의견에 동의하거나 반대하는 표현을 사용할 수 있어요.
 Express opinions by showing agreement or disagreement.",This idea is ___.,이 생각은 훌륭해.,terrible,great,average,great,2,I believe this idea is ___.,나는 이 생각이 환상적이라고 믿어.,mediocre,fantastic,bad,fantastic,2,"A: This proposal is amazing. B: I think so, too. A: I believe this plan is exceptional. B: Me, too.",A: 이 제안은 놀라워. B: 나도 그렇게 생각해. A: 나는 이 계획이 탁월하다고 믿어. B: 나도 그래.,,,,,
701,중1,능률(김),2015,4,function,이유 묻고 답하기,Why와 because를 활용하기,Why와 because를 활용해 이유 묻고 답하기.,"A: Why are you late?
 B: Because I missed the bus.","A: 왜 늦었어?
 B: 버스를 놓쳤기 때문이야.","A: What’s the reason for ~?
 B: It’s because ~.
 A: Why ~?
 B: Since ~.",A: ~의 이유가 뭐야? B: ~ 때문이야. A: 왜 ~야? B: ~라서 그래.,"이유를 묻고 대답하는 표현을 사용할 수 있어요.
 Learn how to ask and answer questions about reasons using why and because.",A: ___ are you late? B: Because I missed the bus.,A: 왜 늦었어? B: 버스를 놓쳤어.,What,When,Why,Why,3,B: It's ___ I missed the bus.,B: 버스를 놓친 이유는 알람이 울리지 않아서야.,although,because,before,because,2,A: Why did you miss the meeting? B: Because I overslept. A: What prompted that? B: Since my alarm failed to ring.,A: 왜 회의에 늦었어? B: 알람을 듣지 못해서 잠이 들었어. A: 무슨 이유에서 그런 거야? B: 알람이 울리지 않아서야.,,,,,
701,중1,능률(김),2015,5,function,미래 소망 표현하기,want to ~를 활용해 표현하기,want to ~를 활용 미래에 대한 소망을 표현하기.,I want to be a doctor.,나는 의사가 되고 싶어.,"My dream is to become ~.
 I hope to be ~.",내 꿈은 ~가 되는 거야. 나는 ~가 되고 싶어.,"미래에 대한 소망을 표현할 수 있어요.
 I want to ~를 활용하여 자신의 꿈을 말할 수 있어요.",I want to be a ______.,나는 의사가 되고 싶어.,nurse,doctor,teacher,doctor,2,My dream is to become ______. I hope to be a doctor.,내 꿈은 의사가 되는 거야. 나는 의사가 되고 싶어.,a teacher,a doctor,an actor,a doctor,2,A: I want to be an engineer one day. B: That's an inspiring goal! A: My dream is to become an engineer. I hope to make a difference. B: Believe in yourself!,A: 언젠가는 엔지니어가 되고 싶어. B: 정말 영감을 주는 목표야! A: 내 꿈은 엔지니어가 되는 거야. 나는 변화를 만들고 싶어. B: 자신을 믿어!,,,,,
701,중1,능률(김),2015,5,function,격려 표현하기,긍정적 단어 활용하기,긍정적인 말을 통해 격려하기.,Don’t worry. You’ll do fine.,걱정하지 마. 너는 잘할 거야.,"Everything will be okay. You can do it.
 Stay positive. You’ve got this.",모든 건 다 잘 될 거야. 할 수 있어. 긍정적으로 생각해. 넌 해낼 수 있어.,"긍정적인 말을 통해 격려하는 표현을 사용할 수 있어요.
 You can encourage someone using positive words.",Don't ___ . You'll do fine.,걱정하지 마. 잘 할 거야.,stress,worry,fret,worry,2,Everything will be okay. You can do it. ___ positive. You've got this.,모든 것이 괜찮을 거야. 너는 할 수 있어. 긍정적으로 있어. 넌 이길 수 있어.,Keep,Stay,Remain,Stay,2,A: Don't worry. You will succeed. B: I appreciate your confidence in me. A: Everything will be okay. You can do it. Stay motivated. You've got this.,A: 걱정하지 마. 넌 성공할 거야. B: 네가 나를 믿어줘서 고마워. A: 모든 것이 괜찮을 거야. 너는 할 수 있어. 동기 부여를 받아. 넌 해낼 수 있어.,,,,,
